2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "a3fa5551-4250-4dec-b518-120ee3f97947", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.115211+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "4626b228fdb24d0189458619167864e1", "resource_type": "tool", "tag": "8aa16639deed4bc4998fd58fe5f16730", "card": "id=4626b228fdb24d0189458619167864e1,name=get_quarantine_status"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "c4e6d079-533a-4839-a55c-f4807d1bcdbd", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.115379+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "eda31c4d72f3466cbe507cdb0ee975bb", "resource_type": "tool", "tag": "8aa16639deed4bc4998fd58fe5f16730", "card": "id=eda31c4d72f3466cbe507cdb0ee975bb,name=get_exposure_profile"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "07da0bf0-5c9a-4f2a-bcaa-dd907e64a714", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.115525+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "8857a5866491401dad80891c04ef75e8", "resource_type": "tool", "tag": "8aa16639deed4bc4998fd58fe5f16730", "card": "id=8857a5866491401dad80891c04ef75e8,name=get_detections"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "798cdbb1-3803-426e-a2a3-1e5613bebba8", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.116967+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "16f16c1f88fe4920922865fbfd7b0d24", "resource_type": "tool", "tag": "a167f65e86da404185913a8120b1f6cc", "card": "id=16f16c1f88fe4920922865fbfd7b0d24,name=get_detections"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "61f58dca-cce6-4267-8920-bb4e0765874d", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.117223+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "e50ccbc2b94e419a9232a9479f3b8985", "resource_type": "tool", "tag": "a167f65e86da404185913a8120b1f6cc", "card": "id=e50ccbc2b94e419a9232a9479f3b8985,name=get_quarantine_status"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "5305ad86-1a9b-4798-911b-b26736a4ff85", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.117468+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "d2bdc7c3532c4fc7bf3d190979ed3dd0", "resource_type": "tool", "tag": "a167f65e86da404185913a8120b1f6cc", "card": "id=d2bdc7c3532c4fc7bf3d190979ed3dd0,name=get_exposure_profile"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "79f4070c-cbbc-4633-a08b-71507ee83155", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.117938+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "16f16c1f88fe4920922865fbfd7b0d24", "resource_type": "tool", "tag": "a167f65e86da404185913a8120b1f6cc", "card": "id=16f16c1f88fe4920922865fbfd7b0d24,name=get_detections"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "639b876d-e030-4c73-b9a6-2333e597c672", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.118073+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "e50ccbc2b94e419a9232a9479f3b8985", "resource_type": "tool", "tag": "a167f65e86da404185913a8120b1f6cc", "card": "id=e50ccbc2b94e419a9232a9479f3b8985,name=get_quarantine_status"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "82b86016-7cb4-4a40-99b8-25912e00e8b4", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.118196+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "d2bdc7c3532c4fc7bf3d190979ed3dd0", "resource_type": "tool", "tag": "a167f65e86da404185913a8120b1f6cc", "card": "id=d2bdc7c3532c4fc7bf3d190979ed3dd0,name=get_exposure_profile"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "4ad63cac-6bff-4a33-8030-040f28ba1510", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.119519+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "69794f7fcaff462483d9fe9f9236a794", "resource_type": "tool", "tag": "fdbbbc00515245a98ae762ea9ff1eaff", "card": "id=69794f7fcaff462483d9fe9f9236a794,name=get_detections"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "5d82fb0c-ca83-4d4d-8430-b3236440375b", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.119753+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "a062c072d3b1441a94746c521e5cbf73", "resource_type": "tool", "tag": "fdbbbc00515245a98ae762ea9ff1eaff", "card": "id=a062c072d3b1441a94746c521e5cbf73,name=get_quarantine_status"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "87707db9-9893-4d9c-bece-b65f5d9551c3", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.119983+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "b8389ffaf4f64074b4e471350d3f5e23", "resource_type": "tool", "tag": "fdbbbc00515245a98ae762ea9ff1eaff", "card": "id=b8389ffaf4f64074b4e471350d3f5e23,name=get_exposure_profile"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "7b4a4a3a-b287-4354-b75e-ca2c4cb3f8fb", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.120397+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "69794f7fcaff462483d9fe9f9236a794", "resource_type": "tool", "tag": "fdbbbc00515245a98ae762ea9ff1eaff", "card": "id=69794f7fcaff462483d9fe9f9236a794,name=get_detections"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "8077d276-930d-4277-89b6-eec7ee5c71a0", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.120530+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "a062c072d3b1441a94746c521e5cbf73", "resource_type": "tool", "tag": "fdbbbc00515245a98ae762ea9ff1eaff", "card": "id=a062c072d3b1441a94746c521e5cbf73,name=get_quarantine_status"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "c35f3cf0-4c67-47c6-85f5-44fc853c9214", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.120662+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "b8389ffaf4f64074b4e471350d3f5e23", "resource_type": "tool", "tag": "fdbbbc00515245a98ae762ea9ff1eaff", "card": "id=b8389ffaf4f64074b4e471350d3f5e23,name=get_exposure_profile"}
